uid,ranking,uniname,Total Score,alumni,award,HiCi,N&S,PUB,PCP
1,1,Harvard University,100,100,100,100,100,100,79.6
2,2,Stanford University,75.6,44.5,88.5,76.6,78.6,76.5,56
3,3,University of Cambridge,71.8,82.3,95.4,56.7,57.6,70.9,59.5
4,4,Massachusetts Institute of Technology (MIT),69.9,70.9,83.6,52.5,71.4,64.4,70.3
5,5,"University of California, Berkeley",68.3,65.6,78.4,61.3,67.8,65.1,58.2
6,6,Princeton University,61,55.8,97.9,44.9,47.1,44.2,73.3
7,7,University of Oxford,60,50.8,54.2,61.3,52.6,77.1,46.8
8,8,Columbia University,58.2,62.8,67.2,41.8,56.4,71.5,33.7
9,9,California Institute of Technology,57.4,53.5,67.5,34.5,57.6,45,100
10,10,University of Chicago,55.5,59.2,90.1,35.8,42.5,52,44.2
11,11,"University of California, Los Angeles",51.2,29.2,46.4,55.9,44.9,73.1,32.1
12,12,Cornell University,50.7,43.1,49.1,46.9,47.3,61.6,43.4
13,12,Yale University,50.7,47.1,49.7,44.9,53.4,58.7,35.7
14,14,University of Washington,50,24.9,37.4,54.2,49.1,75.9,31.4
15,15,"University of California, San Diego",47.8,19,35.1,53.3,53,65.4,35.9
16,16,University of Pennsylvania,46.4,31.3,33.4,46.9,41.7,69.7,39.7
17,17,University College London,46.1,27.8,35.8,41.8,39,78.8,32.6
18,18,Johns Hopkins University,45.4,37.3,33.2,37.1,43.4,75.7,28.7
19,19,Swiss Federal Institute of Technology Zurich,43.9,29.2,35.1,33.2,49.9,58.7,47.5
20,20,Washington University in St. Louis,42.1,22.7,24.6,55,42.3,53.8,38.6
21,21,"University of California, San Francisco",41.9,0,39.4,35.8,50.9,63.2,32
22,22,The University of Tokyo,41.5,38.3,25,25.3,46,72.8,29.8
23,23,University of Toronto,40.9,19.7,17,35.8,38.9,83.1,31.7
24,24,Imperial College London,40.1,14.4,35.4,35.8,31,67.7,39.1
25,25,Northwestern University,39.9,15.2,27.6,48.8,33.3,62.2,31.7
26,26,Duke University,39.7,15.2,19,55.9,35.6,63.9,25.5
27,27,University of Michigan-Ann Arbor,39.4,34.1,0,41.8,41,80.8,25
28,28,University of Wisconsin - Madison,38.9,32.5,34.3,30.3,32.3,65,24.3
29,29,University of Copenhagen,38.7,21.5,18.6,33.2,37.6,67.8,42.9
30,30,Rockefeller University,37.9,16.8,61.4,33.2,42.4,19.5,41.5
31,30,University of North Carolina at Chapel Hill,37.9,8.8,23.4,45.9,30.2,64.7,34.4
32,32,New York University,37.2,29.6,31.5,25.3,39.5,60.6,20.8
33,32,The University of Edinburgh,37.2,27.3,24.6,42.8,30.9,55.9,28.7
34,34,The University of Manchester,37,18.3,32.2,34.5,30.9,60,28.9
35,35,Kyoto University,36.4,31.3,36.7,21.4,31.7,60.8,23.9
36,36,Sorbonne University,36.1,33.3,27.1,25.3,29.9,64.7,26.2
37,37,"University of Minnesota, Twin Cities",35.9,29.2,16.1,34.5,31.2,67.5,23.7
38,38,The University of Melbourne,35.7,16.8,13.1,42.8,21.4,72.3,33.6
39,38,University of Colorado at Boulder,35.7,12.4,33.6,31.8,37.4,48.5,35
40,40,The University of Texas at Austin,35.6,20.9,16.1,38.3,36.4,58.6,29.2
41,41,University of Illinois at Urbana-Champaign,35.4,29.6,35.8,19.2,31.8,57.8,28
42,42,University of Paris-Sud (Paris 11),35.1,30,53.6,19.2,18.5,49,33.4
43,43,University of British Columbia,34.8,15.2,18.6,34.5,29.6,66.6,26.7
44,44,Karolinska Institute,34.7,25.4,26.3,25.3,24.9,56.6,48.6
45,45,Tsinghua University,34.1,10.2,0,37.1,38.4,74.6,24.1
46,46,"University of California, Santa Barbara",33.4,14.4,38.6,30.3,28.7,40.1,37.5
47,47,Heidelberg University,33.2,19.7,25,28.7,27.7,53.6,35.6
48,48,Technical University Munich,33,36.6,21.3,25.3,25.2,53.6,35.5
49,48,The University of Texas Southwestern Medical Center at Dallas,33,18.3,34,28.7,39.4,36.7,27
50,50,Vanderbilt University,32.8,15.2,28.6,30.3,23,53.4,35.3
51,51,"University of Maryland, College Park",32.3,19,19.7,25.3,33.5,55.3,29.3
52,51,Utrecht University,32.3,22.7,19.7,35.8,26.5,50.1,29.3
53,53,University of Munich,32.2,28.3,18.9,23.5,30.6,53.3,34.9
54,54,University of Zurich,32,5.1,23.7,30.3,29.4,54,33.8
55,55,The University of Queensland,31.5,12.4,0,37.1,26.6,66.8,34.9
56,56,King's College London,31.4,20.9,20.8,30.3,20.6,57.9,27.5
57,57,Peking University,31,11.4,0,34.5,29.5,70.7,22.6
58,57,University of Helsinki,31,18.3,20.8,28.7,21.7,54.6,34.2
59,59,University of Geneva,30.9,29.6,27.9,25.3,27,40.1,32.6
60,60,University of Southern California,30.8,0,31.3,31.8,20.4,55.1,24.6
61,61,Ghent University,30.7,5.1,13.1,39.5,17.5,59.1,36.7
62,62,University of Oslo,29.8,27.8,32.2,13.5,17.2,54.9,28.6
63,63,Uppsala University,29.5,17.6,27.1,16.6,23.9,53.5,29.5
64,64,Ecole Normale Superieure - Paris,29.3,48.4,27.6,0,18.8,30.3,84.8
65,65,Aarhus University,29.2,11.4,21.8,19.2,23.3,56.6,33.4
66,66,University of Groningen,29,13.4,25.2,19.2,18.4,55.9,33.7
67,67,Zhejiang University,28.3,0,0,35.8,17.6,74.5,21.8
68,68,University of Sydney,28.1,14.4,0,28.7,17.9,69.3,28.7
69,69,The Australian National University,28,13.4,19,23.5,23.9,48,31.7
70,70,Boston University,27.9,11.4,11.4,30.3,24.3,53.1,23.8
71,70,McGill University,27.9,32.5,0,19.2,25.8,62.1,26.8
72,70,Purdue University - West Lafayette,27.9,13.4,22.8,19.2,23.1,53.2,23.7
73,70,Rice University,27.9,16.1,21.4,35.8,19.7,32.4,38.6
74,74,Leiden University,27.7,17.6,9.3,28.7,20.6,51.9,33
75,74,Pennsylvania State University - University Park,27.7,10.2,0,34.5,28.7,55.1,24.6
76,74,University of Bristol,27.7,7.2,16.1,23.5,30,48.4,28.6
77,77,Stockholm University,27.6,23.8,27.1,16.6,22.1,43.8,27.4
78,77,Technion-Israel Institute of Technology,27.6,23.3,37.2,19.2,20.6,32.1,28.8
79,79,Erasmus University Rotterdam,27.5,0,14.7,48.8,14.6,36.4,40.2
80,79,Georgia Institute of Technology,27.5,12.4,0,38.3,24.6,46.6,38
81,81,Mayo Medical School,27.3,0,0,50.7,13.8,51.3,35.9
82,81,Swiss Federal Institute of Technology Lausanne,27.3,0,0,34.5,33.1,43.8,44.4
83,83,Nagoya University,27.2,28.7,25,16.6,18.8,46.2,25
84,83,"University of California, Irvine",27.2,0,28.9,21.4,22.7,47.6,24.8
85,85,National University of Singapore,27.1,0,0,30.3,22.4,62.1,35.5
86,86,KU Leuven,27,0,0,33.2,22.4,60.9,31.2
87,86,McMaster University,27,12.4,18.6,34.5,11.3,46.3,30.8
88,86,Moscow State University,27,40.9,32.6,0,9.7,52.5,33.7
89,86,University of Florida,27,16.8,0,28.7,18.9,63.6,24.8
90,90,"University of Pittsburgh, Pittsburgh Campus",26.9,18.3,0,33.2,18.1,62,18.9
91,91,Carnegie Mellon University,26.8,31.3,31.2,21.4,12.3,35.6,30.1
92,91,Monash University,26.8,0,0,28.7,23.1,64.6,29.7
93,93,The University of Western Australia,26.5,13.4,13.9,25.3,15.7,51.1,33.5
94,94,The Ohio State University - Columbus,26.4,12.4,0,27.1,21.3,65.3,18.6
95,95,The Hebrew University of Jerusalem,26.2,31.7,27.9,13.5,17.9,39,28.1
96,96,Nanyang Technological University,25.9,0,0,35.8,19.2,55.2,33.5
97,96,University of Basel,25.9,23.3,16.1,13.5,27.1,40.5,36.3
98,96,"University of California, Davis",25.9,0,0,25.3,30.5,59.3,23.6
99,99,University of Goettingen,25.7,30.5,14.7,21.4,22.1,39,27.4
100,100,The University of Texas M. D. Anderson Cancer Center,25.1,0,0,31.8,23,42.7,50.7
101,101-150,Aix Marseille University,0.0,13.4,0,23.5,24.5,54.3,19.7
102,101-150,Arizona State University,0.0,0,19.7,16.6,21.9,47.1,22.9
103,101-150,Baylor College of Medicine,0.0,0,0,23.5,30.1,44.5,19.1
104,101-150,Brown University,0.0,14.4,19.7,9.6,20.5,46.1,33
105,101-150,Cardiff University,0.0,0,16.1,23.5,18,43.7,25.3
106,101-150,Case Western Reserve University,0.0,32.5,10.7,19.2,15.8,40.5,24.7
107,101-150,Emory University,0.0,0,0,19.2,25.3,54.8,21.8
108,101-150,Fudan University,0.0,0,0,23.5,15,64.6,20.8
109,101-150,Icahn School of Medicine at Mount Sinai,0.0,0,0,40.6,25.8,41.2,19
110,101-150,Indiana University Bloomington,0.0,10.2,21.3,13.5,18.6,40.3,19.4
111,101-150,King Abdulaziz University,0.0,0,0,43.9,12.4,46.7,16.6
112,101-150,King Saud University,0.0,0,0,44.9,3.9,47.8,18.2
113,101-150,Lund University,0.0,20.9,0,16.6,19.1,53.5,23.6
114,101-150,Michigan State University,0.0,8.8,0,21.4,22,54.8,19.3
115,101-150,Norwegian University of Science and Technology - NTNU,0.0,13.4,20.8,19.2,13.8,42.2,20.5
116,101-150,Osaka University,0.0,8.8,0,27.1,21.6,52.5,21.7
117,101-150,Radboud University Nijmegen,0.0,16.1,0,19.2,20.2,52.8,36.2
118,101-150,"Rutgers, The State University of New Jersey - New Brunswick",0.0,10.2,18.6,21.4,25.3,43.8,16.9
119,101-150,Seoul National University,0.0,0,0,16.6,15.9,72.2,24.5
120,101-150,Shanghai Jiao Tong University,0.0,0,0,16.6,13,79.4,23.6
121,101-150,Sun Yat-sen University,0.0,0,0,21.4,12.6,65.3,18
122,101-150,The University of Adelaide,0.0,14.4,0,25.3,15.5,46.4,30.4
123,101-150,The University of Hong Kong,0.0,0,0,33.2,14.4,49.9,29.1
124,101-150,The University of New South Wales,0.0,0,0,23.5,19.4,64.5,28.2
125,101-150,The University of Sheffield,0.0,17.6,13.1,13.5,16.6,47.6,23.1
126,101-150,Tohoku University,0.0,14.4,0,16.6,18.2,52.1,21.6
127,101-150,University of Alberta,0.0,11.4,0,16.6,17.4,57.7,23.9
128,101-150,University of Amsterdam,0.0,5.1,0,25.3,19.6,52,28.5
129,101-150,University of Arizona,0.0,14.4,0,23.5,27.2,50.3,23.5
130,101-150,University of Bern,0.0,12.4,0,28.7,23.7,45,33.5
131,101-150,University of Birmingham,0.0,18.3,9.3,19.2,14.7,47.8,22.9
132,101-150,University of Bonn,0.0,15.2,19.5,21.4,19.2,40.4,26.6
133,101-150,"University of California, Santa Cruz",0.0,0,0,40.6,29.5,29.9,38.7
134,101-150,University of Frankfurt,0.0,30,0,16.6,21.2,39.7,25.7
135,101-150,University of Freiburg,0.0,22.1,18.6,16.6,16,38.5,25
136,101-150,University of Gothenburg,0.0,0,15.2,19.2,13.7,45.9,21.9
137,101-150,University of Lausanne,0.0,12.4,17,16.6,22.5,34.9,24
138,101-150,University of Leeds,0.0,16.8,0,27.1,19.5,46.8,22.8
139,101-150,University of Liverpool,0.0,16.8,13.1,16.6,20.7,46.3,25.7
140,101-150,University of Montreal,0.0,11.4,0,19.2,16.2,52.9,23.9
141,101-150,University of Nottingham,0.0,11.4,19.7,21.4,13.4,48.8,22.2
142,101-150,University of Science and Technology of China,0.0,0,0,21.4,20.4,60.6,26.2
143,101-150,University of Southampton,0.0,0,0,27.1,22.5,49.4,25.9
144,101-150,University of Strasbourg,0.0,28.3,33.1,0,17.1,37.5,22.1
145,101-150,University of Utah,0.0,0,11.4,19.2,24.6,51.6,28.3
146,101-150,University of Wageningen,0.0,0,0,28.7,16.6,42,35.1
147,101-150,University of Warwick,0.0,13.4,29.4,9.6,16.6,43.8,26.8
148,101-150,University Paris Diderot - Paris 7,0.0,11.4,9.3,16.6,27.9,47.2,24.7
149,101-150,VU University Amsterdam,0.0,0,0,33.2,15.7,54.7,35.2
150,101-150,Weizmann Institute of Science,0.0,17.6,16.1,13.5,36.1,28.3,25.4
151,151-200,Catholic University of Louvain,0.0,10.2,13.1,19.2,9.9,35.7,27.1
152,151-200,Curtin University,0.0,0,0,21.4,13.9,43.7,29.3
153,151-200,Delft University of Technology,0.0,11.4,0,13.5,18.2,43.2,24.8
154,151-200,Harbin Institute of Technology,0.0,0,0,21.4,8.7,58.6,15.6
155,151-200,Hokkaido University,0.0,11.4,16.1,9.6,11,44.8,20.1
156,151-200,Huazhong University of Science and Technology,0.0,0,0,9.6,8.3,63.3,17.1
157,151-200,London School of Economics and Political Science,0.0,23.8,16.1,0,0.0,31.3,27.7
158,151-200,London School of Hygiene & Tropical Medicine,0.0,7.2,0,27.1,10,35.2,35.4
159,151-200,Nanjing University,0.0,0,0,13.5,11.5,59.4,20.2
160,151-200,National Taiwan University,0.0,11.4,0,16.6,11.6,53,19.7
161,151-200,North Carolina State University - Raleigh,0.0,0,0,21.4,13.5,44.7,20
162,151-200,Oregon Health and Science University,0.0,0,0,16.6,24.3,37.2,21.3
163,151-200,Oregon State University,0.0,10.2,0,19.2,21.9,38.8,23.8
164,151-200,Queen Mary University of London,0.0,17.6,0,19.2,17.4,39.3,24
165,151-200,Sichuan University,0.0,0,0,13.5,9.2,61.7,14.5
166,151-200,Sungkyunkwan University,0.0,0,0,16.6,13.1,51.4,22.4
167,151-200,Technical University of Denmark,0.0,5.1,11.4,16.6,16.8,42.7,24.6
168,151-200,Tel Aviv University,0.0,0,0,9.6,18.8,51.8,27.4
169,151-200,Texas A&M University,0.0,0,0,21.4,16.6,55.1,18.7
170,151-200,The Chinese University of Hong Kong,0.0,0,13.9,13.5,11.6,46.9,26.2
171,151-200,The University of Calgary,0.0,0,0,19.2,14.5,48.3,20.8
172,151-200,The University of Glasgow,0.0,7.2,0,21.4,19.2,44.2,23.5
173,151-200,Tokyo Institute of Technology,0.0,12.4,29.4,0,14.4,37.8,28.6
174,151-200,Trinity College Dublin,0.0,15.2,13.1,16.6,16.2,33.5,21.6
175,151-200,TU Dresden,0.0,0,0,21.4,17.5,43.2,25.1
176,151-200,Tufts University,0.0,18.3,16.1,16.6,12.5,35.6,25.1
177,151-200,Université Grenoble Alpes,0.0,0,14.7,0,24.2,47,20.5
178,151-200,Université libre de Bruxelles (ULB),0.0,19.7,26.3,0,14.6,34.6,32
179,151-200,University of Barcelona,0.0,0,0,27.1,12.5,53.3,23.2
180,151-200,"University of California, Riverside",0.0,12.4,0,27.1,16.7,35.5,25.7
181,151-200,University of Cologne,0.0,0,11.4,9.6,20,39.7,22.9
182,151-200,University of Exeter,0.0,0,0,30.3,18.7,39.1,26.9
183,151-200,University of Hamburg,0.0,11.4,0,16.6,22.6,39.1,23.9
184,151-200,University of Iowa,0.0,0,0,19.2,14.8,46.9,17.8
185,151-200,University of Leipzig,0.0,11.4,13.1,13.5,10.3,35.7,20.7
186,151-200,University of Lisbon,0.0,0,8,9.6,12.5,50.1,26
187,151-200,University of Massachusetts Amherst,0.0,13.4,0,25.3,15.7,38.5,23.2
188,151-200,University of Massachusetts Medical School - Worcester,0.0,0,19.7,9.6,23.1,26.6,20.5
189,151-200,University of Milan,0.0,16.8,0,13.5,10.1,49.9,23.3
190,151-200,University of Muenster,0.0,19,13.1,16.6,17,35.8,22.9
191,151-200,University of Ottawa,0.0,0,0,13.5,17.8,46.8,22.3
192,151-200,University of Paris Descartes (Paris 5),0.0,11.4,9.3,21.4,10.8,43.5,22.9
193,151-200,University of Rochester,0.0,27.8,7.6,13.5,17.5,39.9,17.9
194,151-200,University of Sao Paulo,0.0,0,0,0,14.2,76.2,17.1
195,151-200,University of Tuebingen,0.0,22.1,0,9.6,18.9,43.1,24.7
196,151-200,University of Vienna,0.0,13.4,0,21.4,19.1,38.1,26.9
197,151-200,University of Virginia,0.0,0,0,19.2,24.6,46.1,19.1
198,151-200,University of Waterloo,0.0,0,0,21.4,12.6,44,23.4
199,151-200,University of Wuerzburg,0.0,19,0,21.4,15.5,32.2,21.4
200,151-200,Xian Jiaotong University,0.0,0,0,9.6,9.3,61.1,17
201,201-300,Aalborg University,0.0,0,0,25.3,6.8,36,21.8
202,201-300,Beihang University,0.0,0,0,16.6,6.8,49.7,16.4
203,201-300,Beijing Normal University,0.0,15.2,0,13.5,7.9,43.8,16.4
204,201-300,Brandeis University,0.0,19,12,9.6,16.4,18.7,27.8
205,201-300,Central South University,0.0,0,0,13.5,4.9,59.8,16.5
206,201-300,Chalmers University of Technology,0.0,0,0,16.6,11.8,32,24.2
207,201-300,Charles University in Prague,0.0,8.8,0,13.5,8.9,46.9,19.9
208,201-300,China Medical University (Taichung),0.0,0,0,30.3,2.6,33.2,31
209,201-300,City University of Hong Kong,0.0,0,0,25.3,6.1,41.2,27.1
210,201-300,Claude Bernard University Lyon 1,0.0,10.2,0,9.6,19.9,43.2,19.9
211,201-300,Colorado State University,0.0,0,0,9.6,16.9,38.9,19.5
212,201-300,Complutense University of Madrid,0.0,19,0,0,12.2,44,14.5
213,201-300,Dalian University of Technology,0.0,0,0,13.5,7.3,47.5,15.7
214,201-300,Dartmouth College,0.0,17.6,0,16.6,13.4,26.7,22.2
215,201-300,Deakin University,0.0,0,0,23.5,9.2,41.2,25.8
216,201-300,Durham University,0.0,0,0,23.5,15.6,36.2,23.4
217,201-300,Florida State University,0.0,0,0,13.5,15.3,39.3,20.2
218,201-300,George Mason University,0.0,0,31.5,0,6.1,29.5,19.4
219,201-300,Georgetown University,0.0,0,0,27.1,6,33,23.8
220,201-300,Hanyang University,0.0,0,0,13.5,9.5,42.7,22.1
221,201-300,Iowa State University,0.0,0,0,23.5,9.1,42,20.6
222,201-300,James Cook University,0.0,0,0,16.6,14.9,29.5,27.9
223,201-300,Jilin University,0.0,0,0,13.5,7.4,58.3,13.3
224,201-300,Karlsruhe Institute of Technology (KIT),0.0,0,0,16.6,14.4,38,21.5
225,201-300,King Abdullah University of Science and Technology,0.0,0,0,27.1,14,30.8,21.2
226,201-300,Korea Advanced Institute of Science and Technology,0.0,0,0,16.6,14,40.7,28.2
227,201-300,Korea University,0.0,0,0,9.6,9.3,55.1,22.8
228,201-300,KTH Royal Institute of Technology,0.0,0,14.7,0,13.8,40.8,28.5
229,201-300,Kyushu University,0.0,0,0,9.6,12.6,46.5,19
230,201-300,Laval University,0.0,0,0,16.6,10.5,39.2,18.4
231,201-300,Maastricht University,0.0,0,0,13.5,4.7,44.3,26.5
232,201-300,Macquarie University,0.0,0,0,16.6,13.1,39.3,26.6
233,201-300,Medical University of Vienna,0.0,8.8,9.3,13.5,11.8,35.5,21.5
234,201-300,National Autonomous University of Mexico,0.0,12.4,0,0,11.4,52.4,26.6
235,201-300,Newcastle University,0.0,0,0,13.5,17,42.2,20.9
236,201-300,Northeastern University (Boston),0.0,0,0,13.5,18.7,33.9,22.5
237,201-300,Paul Sabatier University (Toulouse 3),0.0,0,0,13.5,18.9,37.1,17.3
238,201-300,Polytechnic Institute of Milan,0.0,7.2,14.7,9.6,5.4,35,20.3
239,201-300,Pompeu Fabra University,0.0,0,0,13.5,20.1,28.5,39.4
240,201-300,Queen's University,0.0,0,20.8,0,9.3,35,23.1
241,201-300,Queensland University of Technology,0.0,0,0,21.4,5.7,38.5,23.4
242,201-300,RWTH Aachen University,0.0,0,0,13.5,7.1,44.9,23.2
243,201-300,Sapienza University of Rome,0.0,11.4,13.1,0,8.7,51.2,18.9
244,201-300,Soochow University (China),0.0,0,0,19.2,7.8,48.1,14.4
245,201-300,South China University of Technology,0.0,0,0,16.6,3,50.6,15.9
246,201-300,Southeast University,0.0,0,0,19.2,5.9,52.6,16.4
247,201-300,Swedish University of Agricultural Sciences,0.0,0,0,13.5,14.7,30.7,30.7
